time,latitude,longitude,depth,mag,place
2000-01-01T05:58:19.780Z,-60.722,153.67,10,6,west of Macquarie Island
2000-01-05T07:40:40.730Z,-11.371,165.378,33,6.1,"84 km SSW of Lata, Solomon Islands"
2000-01-06T10:42:25.000Z,58.04,-136.87,1,6.1,"35 km WSW of Elfin Cove, Alaska"
2000-01-06T21:31:06.220Z,16.095,119.484,33,6.2,"Luzon, Philippines"
2000-01-08T01:19:46.660Z,-9.805,159.811,33,6.4,"15 km SE of Malango, Solomon Islands"
2000-01-08T11:59:21.840Z,-23.169,-70.122,36,6.4,"60 km NNE of Antofagasta, Chile"
2000-01-08T16:47:20.580Z,-16.925,-174.248,183.4,7.2,"117 km SSW of Hihifo, Tonga"
2000-01-09T21:54:40.490Z,-18.823,174.37,33,6.5,Fiji region
2000-01-13T20:07:14.440Z,-17.61,-178.742,535,6.2,"211 km ENE of Levuka, Fiji"
2000-01-15T12:49:45.070Z,-21.216,-179.255,632.8,6,Fiji region
2000-01-19T07:09:33.580Z,36.372,70.379,206.9,6,"51 km ESE of Farkh?r, Afghanistan"
2000-01-20T09:41:47.340Z,43.649,-127.257,10,6.1,"238 km WNW of Bandon, Oregon"
2000-01-26T13:26:50.000Z,-17.272,-174.002,33,6.3,"147 km S of Hihifo, Tonga"
2000-01-28T14:21:07.340Z,43.046,146.837,61.1,6.8,"84 km S of Shikotan, Russia"
2000-01-28T16:39:24.280Z,26.076,124.496,193.9,6,"162 km NNW of Hirara, Japan"
2000-02-06T11:33:52.280Z,-5.844,150.876,33,6.6,"87 km ESE of Kimbe, Papua New Guinea"
2000-02-13T02:57:08.720Z,42.853,131.572,513.6,6,"15 km E of Slavyanka, Russia"
2000-02-25T01:43:58.640Z,-19.528,173.818,33,7.1,Vanuatu region
2000-02-26T08:11:48.440Z,13.795,144.782,132.2,6.2,"30 km NNW of Yigo Village, Guam"
2000-02-26T18:24:39.220Z,9.406,-78.532,65,6.1,"7 km SE of Narganá, Panama"
2000-02-28T22:15:20.120Z,-17.588,-178.984,538,6,"187 km ENE of Levuka, Fiji"
2000-02-29T04:35:04.200Z,-50.066,-114.201,10,6,southern East Pacific Rise
2000-02-29T22:44:58.030Z,-18.158,169.014,33,6,"87 km ESE of Port-Vila, Vanuatu"
2000-03-03T22:09:13.790Z,-7.321,128.491,141.9,6.4,"211 km NE of Lospalos, Timor Leste"
2000-03-03T22:22:40.740Z,-6.817,143.807,10,6.6,"62 km SSW of Ialibu, Papua New Guinea"
2000-03-04T02:24:22.430Z,-60.167,149.868,10,6.4,west of Macquarie Island
2000-03-05T23:57:03.170Z,-62.902,145.637,10,6.1,south of Australia
2000-03-12T22:21:30.470Z,14.975,-92.444,62,6.3,"3 km ESE of Plan de Ayala, Mexico"
2000-03-28T11:00:22.510Z,22.338,143.73,126.5,7.6,"Volcano Islands, Japan region"
2000-04-03T15:20:01.980Z,4.082,125.61,150,6.2,"147 km S of Sarangani, Philippines"
2000-04-07T19:08:27.830Z,-18.045,65.517,10,6.3,"286 km NE of Port Mathurin, Mauritius"
2000-04-18T17:28:12.390Z,-20.664,-176.469,220.7,6,"141 km WNW of Haveluloto, Tonga"
2000-04-21T04:35:17.690Z,51.422,-178.137,33,6,"115 km WSW of Adak, Alaska"
2000-04-23T09:27:23.320Z,-28.307,-62.99,608.5,7,"22 km NW of Añatuya, Argentina"
2000-04-23T17:01:17.470Z,-28.384,-62.943,609.8,6.1,"13 km NW of Añatuya, Argentina"
2000-05-02T15:03:36.800Z,17.439,147.516,55,6,Mariana Islands region
2000-05-04T04:21:16.210Z,-1.105,123.573,26,7.6,"89 km E of Luwuk, Indonesia"
2000-05-04T20:36:32.480Z,-17.914,-178.522,515.8,6.5,"229 km E of Levuka, Fiji"
2000-05-06T13:44:13.880Z,-11.295,165.432,12,6.3,"74 km SSW of Lata, Solomon Islands"
2000-05-08T10:28:25.220Z,-4.457,150.004,502,6.1,"121 km N of Kimbe, Papua New Guinea"
2000-05-12T18:43:18.120Z,-23.548,-66.452,225,7.2,"75 km N of San Antonio de los Cobres, Argentina"
2000-05-12T23:10:29.980Z,35.975,70.657,107.7,6.3,"66 km NNW of P?r?n, Afghanistan"
2000-05-14T20:08:34.350Z,-4.296,123.164,33,6.3,"80 km ESE of Kendari, Indonesia"
2000-05-21T19:58:47.410Z,71.19,-8.263,10,6,"34 km NNE of Olonkinbyen, Svalbard and Jan Mayen"
2000-05-26T00:30:04.870Z,11.359,139.245,33,6,"224 km NW of Fais, Micronesia"
2000-06-02T11:13:49.380Z,44.513,-130.081,10,6.2,off the coast of Oregon
2000-06-03T08:54:49.200Z,35.552,140.464,62.3,6.2,"6 km SE of Narut?, Japan"
2000-06-04T16:28:26.170Z,-4.721,102.087,33,7.9,"103 km S of Bengkulu, Indonesia"
