Name,Latitude,Longitude
St. Andrew Strait,-2.38,147.35
Baluan,-2.57,147.28
Central Bismarck Sea,-3.03,147.78
Dacht-I-Navar Group,33.95,67.92
Vakak Group,34.25,67.97
Karisimbi,-1.506,29.45
May-ya-moto,-0.93,29.33
Nyamulagira,-1.408,29.2
Nyiragongo,-1.52,29.25
Tshibinda,-2.32,28.75
Visoke,-1.458,29.485
Bufumbira,-1.304,29.683
Bunyaruguru,-0.2,30.08
Fort Portal,0.7,30.25
Katunga,-0.471,30.191
Katwe-Kikorongo,-0.08,29.92
Kyatwa,0.45,30.25
Muhavura,-1.383,29.678
"Barrier, The",2.32,36.57
Chyulu Hills,-2.68,37.88
"Eburru, Ol Doinyo",-0.65,36.22
Elmenteita Badlands,-0.546,36.249
Emuruangogolak,1.5,36.33
Homa Mountain,-0.38,34.5
Korosi,0.77,36.12
Lake Turkana Central Island,3.496,36.04
Lake Turkana North Island,4.063,36.046
Lake Turkana South Island,2.636,36.596
Longonot,-0.914,36.446
Marsabit,2.32,37.97
Mega Volcanic Field,3.971,38.213
Menengai,-0.2,36.07
Namarunu,1.98,36.43
Nyambeni Hills,0.23,37.87
Ol Kokwe,0.62,36.075
Olkaria,-0.904,36.292
Paka,0.92,36.18
Segererua Plateau,1.57,37.9
Silali,1.15,36.23
Suswa,-1.151,36.357
Igwisi Hills,-4.889,31.933
Izumbwe-Mpoli,-8.93,33.4
Kilimanjaro,-3.07,37.35
Kyejo,-9.229,33.792
"Lengai, Ol Doinyo",-2.764,35.914
Meru,-3.244,36.75
Ngozi,-9.004,33.552
Rungwe,-9.135,33.668
SW Usangu Basin,-8.75,33.8
Unnamed,-8.63,33.57
Atakor Volcanic Field,23.33,5.83
In Ezzane Volc Field,23,10.833
Manzaz Volcanic Field,23.92,5.83
Tahalra Volcanic Field,22.67,5
"Koussi, Emi",19.8,18.53
Todra Volcanic Field,17.68,8.5
"Toh, Tarso",21.33,16.33
"Tousside, Tarso",21.03,16.45
"Voon, Tarso",20.92,17.28
Haruj,27.25,17.5
Wau-en-Namus,25.05,17.55
Tin Zaouatene Volcanic Field,19.83,2.83
Bayuda Volcanic Field,18.33,32.75
Kutum Volcanic Field,14.57,25.85
"Marra, Jebel",12.95,24.27
Meidob Volcanic Field,15.32,26.47
"Umm Arafieb, Jebel",18.17,33.83
Ardoukoba,11.58,42.47
Mousa Alli,12.469,42.404
Alid,14.88,39.92
Assab Volcanic Field,12.95,42.43
Dubbi,13.579,41.809
Gufa,12.55,42.53
Jalua,15.042,39.82
Nabro,13.37,41.7
Adwa,10.063,40.831
Afdera,13.088,40.853
Alayta,12.888,40.573
Ale Bagu,13.512,40.631
Alu-Dalafilla,13.793,40.553
Aluto,7.77,38.78
Asavyo,13.098,41.599
Ayelu,10.082,40.702
Beru,8.95,39.75
Bilate River Field,7.07,38.1
Bishoftu Volcanic Field,8.78,38.98
Bora Ale,13.725,40.6
Bora-Bericcio,8.221,39.05
Bora-Bericha-Tullu Moye,8.211,39.081
Borawli,13.304,40.987
Borawli Complex,11.63,41.45
Boset,8.558,39.475
Butajiri-Silti Field,8.05,38.35
Chiracha,6.65,38.12
Corbetti,7.193,38.39
Dabbahu,12.595,40.48
Dabbayra,12.38,40.07
Dalaffilla,13.792,40.55
Dallol,14.242,40.3
Dama Ali,11.28,41.63
Dofan,9.35,40.13
East Chamo Basin,5.708,37.713
East Ziway,7.874,38.902
Erta Ale,13.601,40.666
Fentale,8.985,39.906
Gabillema,11.08,41.27
Gada Ale,13.975,40.408
Gedemsa,8.363,39.172
Groppo,11.816,40.242
Hayli Gubbi,13.51,40.722
Hertali,9.78,40.33
Hobicha Caldera,6.78,37.83
Kone,8.811,39.695
Korath Range,5.117,35.892
Kurub,11.88,41.208
Liado Hayk,9.57,40.28
Ma Alalta,13.013,40.185
Mallahle,13.27,41.65
Manda Hararo,12.17,40.82
Manda-Inakir,12.38,42.2
Mat Ala,13.106,41.161
Melkassa,8.43,39.35
Northern Lake Abaya Volcanic Field,6.76,37.97
Shala,7.457,38.557
Sork Ale,13.18,41.725
Tat Ali,13.284,41.063
Tepi,7.42,35.43
Tosa Sucha,5.92,37.57
Unnamed,8.7,39.63
Unnamed,8.62,38.95
Unnamed,8.013,39.062
Yangudi,10.58,41.042
Cameroon,4.203,9.17
Manengouba,5.03,9.83
Ngaoundere Plateau,7.25,13.67
Oku Volcanic Field,6.25,10.5
Tombel Graben,4.758,9.717
San Carlos,3.35,8.52
San Joaquin,3.35,8.63
Santa Isabel,3.588,8.762
Biu Plateau,10.75,12
Sao Tome,0.32,6.72
Aniakchak,56.88,-158.17
Black Peak,56.552,-158.785
Chiginagak,57.135,-156.99
Dana,55.641,-161.214
Denison,58.418,-154.449
Douglas,58.855,-153.542
Dutton,55.183,-162.276
Emmons Lake Volcanic Center,55.352,-162.045
Fourpeaked,58.77,-153.672
Frosty,55.067,-162.835
Griggs,58.354,-155.092
Kaguyak,58.611,-154.025
Katmai,58.279,-154.953
Kialagvik,57.203,-156.745
Kukak,58.453,-154.355
Kupreanof,56.011,-159.797
Mageik,58.195,-155.253
Martin,58.172,-155.361
Novarupta,58.266,-155.159
Pavlof,55.417,-161.894
Pavlof Sister,55.457,-161.854
Snowy Mountain,58.336,-154.682
Steller,58.43,-154.39
Stepovak Bay 2,55.913,-160.041
Stepovak Bay 3,55.929,-160.002
Stepovak Bay 4,55.954,-159.954
Stepovak Bay Group,55.917,-160.017
Trident,58.236,-155.1
Ugashik-Peulik,57.751,-156.368
Ukinrek Maars,57.834,-156.52
Unnamed,57.87,-155.411
Veniaminof,56.17,-159.38
Yantarni,57.019,-157.185
Buzzard Creek,64.062,-148.433
Churchill,61.38,-141.75
Gordon,62.13,-143.08
Sanford,62.22,-144.13
Wrangell,62.006,-144.017
Behm Canal-Rudyerd Bay,55.35,-131
Duncan Canal,56.5,-133.1
Edgecumbe,57.05,-135.75
Tlevak Strait-Suemez Island,55.25,-133.3
Augustine,59.363,-153.435
Hayes,61.64,-152.411
Iliamna,60.032,-153.09
Redoubt,60.485,-152.742
Spurr,61.299,-152.251
Espenberg,66.35,-164.33
Imuruk Lake,65.6,-163.92
Imuruk Lake,65.517,-163.45
Ingakslugwat Hills,61.43,-164.47
Kookooligit Mountains,63.6,-170.43
St. Michael,63.45,-162.12
St. Paul Island,57.167,-170.213
Akutan,54.134,-165.986
Amak,55.418,-163.147
Amukta,52.5,-171.252
Atka Volcanic Complex,52.331,-174.139
Bobrof,51.91,-177.438
Bogoslof,53.93,-168.03
Buldir,52.35,175.911
Carlisle,52.894,-170.054
Chagulak,52.577,-171.13
Cleveland,52.825,-169.944
Davidof,51.97,178.33
Fisher,54.65,-164.43
Gareloi,51.79,-178.794
Great Sitkin,52.076,-176.13
Herbert,52.742,-170.111
Isanotski,54.765,-163.723
Kagamil,52.974,-169.72
Kanaga,51.923,-177.168
Kasatochi,52.177,-175.508
Kiska,52.103,177.602
Koniuji,52.22,-175.13
Korovin,52.381,-174.166
Little Sitkin,51.95,178.543
Makushin,53.891,-166.923
Moffett,51.944,-176.747
Okmok,53.43,-168.13
Recheschnoi,53.157,-168.539
Roundtop,54.8,-163.589
Seguam,52.315,-172.51
Segula,52.015,178.136
Semisopochnoi,51.93,179.58
Sergief,52.03,-174.93
Shishaldin,54.756,-163.97
Takawangha,51.873,-178.006
Tana,52.83,-169.77
Tanaga,51.885,-178.146
Uliaga,53.065,-169.77
Unnamed,52,-173.5
Vsevidof,53.13,-168.693
Westdahl,54.516,-164.65
Yunaska,52.639,-170.632
Barren Island,12.278,93.858
Narcondum,13.43,94.28
Andrus,-75.8,-132.33
Berlin,-76.05,-136
Bridgeman Island,-62.063,-56.713
Bristol Island,-59.017,-26.533
Buckle Island,-66.78,163.25
Candlemas Island,-57.08,-26.67
Deception Island,-62.957,-60.637
Erebus,-77.53,167.17
Hodson,-56.712,-27.176
Hudson Mountains,-74.33,-99.42
Leskov Island,-56.656,-28.14
Lindenberg Island,-65.03,-60.05
Melbourne,-74.35,164.7
Melville,-62.02,-57.67
Montagu Island,-58.445,-26.374
Morning,-78.5,163.53
Mount Haddington Volc Field,-64.15,-57.75
Paulet,-63.579,-55.78
Penguin Island,-62.1,-57.93
Peter I Island,-68.85,-90.58
"Pleiades, The",-72.67,165.5
Protector Seamounts,-55.912,-28.167
Royal Society Range,-78.25,163.33
Saunders,-57.8,-26.483
Seal Nunataks Group,-65.03,-60.05
Siple,-73.43,-126.67
Southern Thule,-59.442,-27.225
Sturge Island,-67.4,164.83
Takahe,-76.28,-112.08
